"","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10"
"A1",0.177978804413572,0.101040231641161,0.0553630083565155,0.0177250578362812,-0.0220678362990141,-0.0748741013863105,-0.161801647248335,-0.288918408795665,-0.526454529359243,-1.16006324581003
"A2",0.178490657599298,0.0886764575988108,0.0385295940644458,-0.00144882722951702,-0.0427044105969636,-0.0964048405142458,-0.183991497571824,-0.311584565923204,-0.549440692376719,NA
"A3",0.159683947017353,0.0698697470168654,0.0197228834825004,-0.0202555378114624,-0.0615111211789089,-0.115211551096191,-0.202798208153769,-0.330391276505149,NA,NA
"A4",0.141259763345583,0.0514455633450959,0.00129869981073093,-0.0386797214832319,-0.0799353048506784,-0.133635734767961,-0.221222391825539,NA,NA,NA
"A5",0.126362144824583,0.0365479448240952,-0.0135989187102698,-0.0535773400042326,-0.0948329233716791,-0.148533353288961,NA,NA,NA,NA
"A6",0.113418378938568,0.0236041789380806,-0.0265426845962844,-0.0665211058902472,-0.107776689257694,NA,NA,NA,NA,NA
"A7",0.099087658150228,0.00927345814974073,-0.0408734053846243,-0.0808518266785871,NA,NA,NA,NA,NA,NA
"A8",0.0841327573971134,-0.00568144260337389,-0.0558283061377389,NA,NA,NA,NA,NA,NA,NA
"A9",0.0723243398675495,-0.0174898601329378,NA,NA,NA,NA,NA,NA,NA,NA
"A10",0.0828158229408192,NA,NA,NA,NA,NA,NA,NA,NA,NA
